<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
262, 138418, 143115, 179041, 133353, 117718, 142329
263, 157905, 148253, 153978, 692835, 181388, 266871
264, 145250, 142748, 285265, 154117, 155229, 176521
265, 165795, 150882, 162620, 147758, 181730, 161757
266, 1614221, 2333724, 616577, 186605, 161782, 982581
267, 159777, 227074, 158788, 161048, 153510, 172039
268, 163218, 272753, 180770, 155067, 251402, 204642
269, 197492, 218372, 630393, 164583, 961928, 434553
270, 709605, 152631, 143669, 148465, 7325482, 1695970
271, 173183, 192454, 494541, 532089, 147746, 308002
272, 505794, 158760, 165759, 149855, 531726, 302378
273, 178148, 130138, 134426, 125706, 142395, 142162
274, 165655, 124515, 129381, 133545, 127493, 136117
275, 144086, 127861, 127443, 132594, 159478, 138292
276, 127129, 131971, 162843, 170605, 170569, 152623
277, 200919, 177356, 168187, 183043, 163977, 178696
278, 259129, 173716, 170678, 165515, 160960, 185999
279, 196649, 171422, 169013, 175315, 190829, 180645
280, 173600, 204452, 182993, 177194, 171689, 181985
281, 174985, 549163, 151913, 177368, 164768, 243639
282, 170980, 171580, 203278, 173913, 164033, 176756
283, 165456, 198102, 171553, 176993, 173601, 177141
284, 184892, 205269, 178798, 171068, 172431, 182491
285, 194849, 141814, 191954, 146710, 179562, 170977
286, 148009, 214948, 205068, 170460, 171560, 182009
287, 193554, 183556, 192529, 186914, 195167, 190344
288, 209384, 736640, 239925, 170264, 179163, 307075
289, 173955, 183348, 177284, 318361, 191526, 208894
290, 182244, 182452, 209566, 704330, 188382, 293394
291, 190455, 191024, 182492, 184215, 187155, 187068
292, 176702, 202931, 172940, 197867, 147464, 179580
293, 194574, 187819, 182687, 194633, 214788, 194900
294, 192293, 165066, 184634, 209701, 155098, 181358
295, 141986, 190364, 377387, 150173, 149893, 201960
296, 139524, 192146, 185941, 181135, 260941, 191937
297, 237189, 199035, 178878, 233198, 672480, 304156
298, 220703, 1112862, 182212, 217448, 178491, 382343
299, 177194, 182857, 215911, 156284, 144282, 175305
300, 149179, 231738, 173188, 170044, 196110, 184051
301, 183545, 173245, 188715, 146580, 158892, 170195
302, 197010, 154261, 156905, 189627, 194463, 178453
303, 198737, 193208, 1780594, 192915, 178266, 508744
304, 497295, 173923, 187117, 191061, 354066, 280692
305, 196203, 210531, 230684, 214084, 195732, 209446
306, 263867, 226546, 207887, 193959, 201569, 218765
307, 226150, 203276, 197918, 200093, 220235, 209534
308, 204265, 195351, 213997, 177907, 151311, 188566
309, 159685, 152422, 236375, 198619, 199814, 189383
310, 192475, 803752, 197330, 189247, 188189, 314198
311, 188367, 204464, 271470, 250517, 229331, 228829
312, 241997, 224597, 209682, 183970, 149532, 201955
313, 137584, 163986, 139750, 148240, 135469, 145005
314, 143662, 140278, 145399, 135911, 152881, 143626
315, 134269, 158305, 139077, 142265, 137485, 142280
316, 185429, 144601, 151913, 167808, 161046, 162159
317, 137186, 145827, 181092, 214378, 153313, 166359
318, 1515081, 1052190, 188783, 189983, 229488, 635105
319, 198844, 196081, 227766, 199289, 221214, 208638
320, 168857, 164975, 158602, 201404, 1221406, 383048
321, 692140, 222693, 202641, 199675, 156791, 294788
322, 150631, 131379, 132871, 125940, 160488, 140261
323, 170966, 161009, 487066, 227643, 216355, 252607
324, 189873, 204379, 208545, 199541, 197102, 199888
325, 190229, 201939, 185450, 280276, 194693, 210517
326, 238743, 189599, 204278, 189458, 196466, 203708
327, 216225, 197060, 237904, 208235, 198066, 211498
328, 647869, 249889, 219285, 676065, 187785, 396178
329, 158789, 152232, 157961, 182717, 207317, 171803
330, 153637, 159300, 157749, 226390, 203214, 180058
331, 219499, 153615, 186775, 232328, 208957, 200234
332, 730191, 213674, 252433, 198366, 193803, 317693
333, 231407, 205427, 197047, 201036, 231148, 213213
334, 203675, 204375, 203210, 196091, 168344, 195139
335, 160494, 216609, 213950, 217430, 237282, 209153
336, 207628, 202724, 639880, 205952, 281643, 307565
337, 205680, 202066, 247618, 95979, 74337, 165136
338, 86278, 73818, 73761, 74460, 72138, 76091
339, 75210, 75584, 74346, 74192, 74136, 74693
340, 73036, 76779, 73235, 74156, 73278, 74096
341, 74053, 74818, 74083, 102559, 75613, 80225
342, 75374, 75295, 76437, 69992, 69535, 73326
343, 68704, 63144, 72136, 65025, 69304, 67662
344, 69070, 68871, 68352, 68261, 69626, 68836
345, 68258, 69039, 68757, 68593, 70030, 68935
346, 63620, 62876, 63088, 62507, 62306, 62879
347, 61259, 65312, 73873, 73288, 73390, 69424
348, 73282, 72953, 73075, 68852, 47517, 67135
349, 54115, 49523, 52408, 48276, 47661, 50396
350, 48680, 48981, 100777, 70404, 70145, 67797
351, 71513, 71937, 70971, 70550, 73841, 71762
352, 69810, 70523, 71161, 70750, 70239, 70496
353, 70102, 70732, 70467, 70317, 70449, 70413
354, 73151, 71141, 71354, 70605, 70393, 71328
355, 70292, 71951, 88926, 70563, 67274, 73801
356, 77692, 66487, 65745, 65243, 64773, 67988
357, 63894, 71756, 74162, 75405, 77174, 72478
358, 66466, 72736, 73241, 72197, 73314, 71590
359, 76332, 76018, 77943, 79139, 77308, 77348
360, 86141, 82273, 83822, 80981, 83579, 83359
361, 83827, 79838, 83560, 83391, 82383, 82599
362, 83792, 84164, 84353, 81841, 81902, 83210
363, 82110, 76013, 74671, 74300, 74804, 76379
364, 74525, 73426, 74126, 73319, 79322, 74943
365, 80300, 86091, 82705, 87838, 88017, 84990
366, 90482, 91905, 90082, 90378, 91077, 90784
367, 89493, 91021, 90548, 90220, 89907, 90237
368, 90882, 92759, 92879, 94059, 91405, 92396
369, 92480, 95098, 93015, 92687, 90933, 92842
370, 91066, 92153, 99401, 92303, 96107, 94206
371, 92871, 92662, 93528, 93017, 91861, 92787
372, 76856, 77432, 96864, 78340, 78894, 81677
373, 89731, 78039, 101162, 76911, 77057, 84580
374, 75053, 87632, 86451, 90281, 90462, 85975
375, 91210, 92460, 97268, 89754, 113851, 96908
376, 90953, 83917, 79046, 87088, 85155, 85231
377, 82621, 81925, 81405, 79258, 79068, 80855
378, 90198, 96006, 95666, 94407, 80807, 91416
379, 92339, 93489, 91200, 93751, 93480, 92851
380, 91438, 92924, 94173, 97128, 86378, 92408
381, 96059, 95508, 82970, 87788, 92548, 90974
382, 93888, 92586, 91648, 98643, 98097, 94972
