<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
269, 18061, 16754, 13031, 12261, 20058, 16033
270, 17981, 17670, 17288, 15121, 14388, 16489
271, 20083, 16846, 12748, 12965, 20279, 16584
272, 17277, 17524, 17139, 12584, 19255, 16755
273, 20638, 14331, 18300, 18187, 14021, 17095
274, 19991, 17715, 15230, 15284, 40450, 21734
275, 20159, 19936, 15239, 17100, 13967, 17280
276, 17739, 17971, 17005, 13232, 12645, 15718
277, 17978, 16641, 15386, 13225, 20736, 16793
278, 17883, 15915, 17900, 12419, 13877, 15598
279, 18022, 20554, 47624, 14179, 17754, 23626
280, 18122, 20274, 15796, 15642, 12694, 16505
281, 20110, 15538, 15633, 12325, 13709, 15463
282, 17850, 17723, 14556, 18806, 12429, 16272
283, 18199, 15588, 14296, 13063, 41982, 20625
284, 21379, 16148, 16736, 13572, 15620, 16691
285, 18840, 15361, 15525, 12589, 14476, 15358
286, 20414, 16091, 15984, 12633, 14365, 15897
287, 18884, 15311, 22332, 13301, 14962, 16958
288, 18397, 15356, 15865, 14268, 12071, 15191
289, 18706, 18250, 14401, 15324, 18211, 16978
290, 18713, 16281, 16061, 12823, 13880, 15551
291, 20855, 18701, 14658, 17651, 14704, 17313
292, 21130, 16543, 17275, 15482, 19984, 18082
293, 19853, 18656, 16329, 13709, 15152, 16739
294, 22385, 20858, 16490, 15734, 13455, 17784
295, 16002, 13443, 11769, 10424, 9941, 12315
296, 16532, 17798, 14147, 11708, 10599, 14156
297, 17242, 14466, 13150, 11581, 10809, 13449
298, 16097, 13545, 12400, 13994, 10769, 13361
299, 16663, 15334, 17680, 15519, 13557, 15750
300, 17884, 13831, 14386, 10850, 10210, 13432
301, 17359, 13952, 12312, 11062, 10311, 12999
302, 20003, 18848, 16997, 16098, 13186, 17026
303, 21885, 16397, 14883, 16652, 10608, 16085
304, 24936, 22658, 16151, 19858, 18679, 20456
305, 16844, 13865, 11914, 10679, 10067, 12673
306, 16814, 14317, 12681, 11426, 13110, 13669
307, 21928, 19459, 17547, 16517, 15011, 18092
308, 21886, 19264, 17450, 16329, 15422, 18070
309, 19873, 17407, 15555, 22560, 10836, 17246
310, 17297, 14669, 13720, 11849, 11254, 13757
311, 17682, 15163, 13231, 12200, 11550, 13965
312, 17201, 14758, 13160, 12449, 11884, 13890
313, 17082, 14141, 12074, 10984, 10242, 12904
314, 17160, 15199, 12455, 11413, 10749, 13395
315, 17546, 15191, 13509, 11965, 11031, 13848
316, 17556, 15051, 13243, 11523, 10482, 13571
317, 17851, 15147, 13378, 12317, 11138, 13966
318, 17400, 15127, 13731, 12879, 11436, 14114
319, 18287, 15178, 13141, 12193, 11461, 14052
320, 17751, 14761, 13111, 12062, 11252, 13787
321, 17952, 14826, 12946, 12489, 12047, 14052
322, 18041, 16156, 13602, 11815, 11172, 14157
323, 19111, 16480, 14224, 12517, 12268, 14920
324, 18048, 16526, 14674, 12508, 11629, 14677
325, 18089, 15709, 13994, 12400, 11027, 14243
326, 18050, 15812, 14102, 12711, 11426, 14420
327, 18315, 15643, 13551, 12355, 11690, 14310
328, 18387, 15873, 13979, 13337, 13017, 14918
329, 19026, 16429, 14017, 13632, 12491, 15119
330, 19716, 15869, 13595, 12580, 11951, 14742
331, 18624, 15650, 13265, 12340, 11583, 14292
332, 18709, 15856, 13980, 14989, 12182, 15143
333, 18654, 16293, 14060, 12704, 16617, 15665
334, 18852, 16163, 13852, 12454, 11547, 14573
335, 19156, 16943, 14336, 13479, 12185, 15219
336, 19460, 16478, 14552, 12748, 11690, 14985
337, 19331, 17218, 14639, 14158, 12715, 15612
338, 19159, 17053, 15303, 13821, 12707, 15608
339, 19930, 26711, 27228, 26923, 25296, 25217
340, 19906, 17083, 15362, 14715, 13870, 16187
341, 20187, 17164, 14988, 13531, 12835, 15741
342, 19775, 17469, 14713, 13281, 12521, 15551
343, 19412, 16496, 14279, 13039, 12195, 15084
344, 19432, 16380, 14401, 13114, 12553, 15176
345, 19397, 30636, 28426, 25500, 24567, 25705
346, 29676, 26236, 25816, 24940, 23978, 26129
347, 29354, 26984, 26853, 26497, 21564, 26250
348, 20365, 15971, 13885, 11814, 11450, 14697
349, 19190, 16468, 14511, 13289, 12379, 15167
350, 19929, 17074, 14367, 13191, 12166, 15345
351, 20012, 17833, 15466, 13782, 13437, 16106
352, 20338, 17918, 16493, 14784, 13073, 16521
353, 31028, 21682, 18243, 29870, 28339, 25832
354, 29614, 28778, 27485, 25678, 27917, 27894
355, 20013, 16952, 14535, 13106, 12439, 15409
356, 20743, 18480, 16617, 15423, 14410, 17134
357, 20911, 29079, 21049, 18497, 13797, 20666
358, 20784, 18238, 16643, 15186, 14081, 16986
