<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
299, 296548, 325065, 265133, 272487, 275066, 286859
300, 294179, 365709, 253901, 282910, 266357, 292611
301, 262733, 256982, 256014, 254928, 260109, 258153
302, 278534, 255626, 268824, 335475, 273402, 282372
303, 300518, 279472, 456198, 464850, 378776, 375962
304, 488018, 407933, 471966, 443061, 400390, 442273
305, 311702, 261968, 260892, 267331, 261787, 272736
306, 392254, 1151045, 985076, 690750, 698501, 783525
307, 579025, 813729, 590419, 609901, 604021, 639419
308, 427748, 562366, 658078, 667883, 958642, 654943
309, 633207, 630646, 603689, 644212, 594378, 621226
310, 592297, 628033, 680734, 701179, 600462, 640541
311, 595873, 599063, 588836, 613627, 717064, 622892
312, 606864, 560745, 564480, 560317, 682640, 595009
313, 581049, 581814, 612829, 584325, 568653, 585734
314, 663167, 578744, 571234, 565000, 568846, 589398
315, 584499, 592650, 653057, 610779, 581313, 604459
316, 601564, 604479, 588216, 618010, 655309, 613515
317, 603580, 605422, 2066742, 980454, 821439, 1015527
318, 1119039, 684873, 971012, 944481, 909636, 925808
319, 1062100, 947649, 973687, 931909, 974266, 977922
320, 943220, 1009893, 897630, 955114, 668887, 894948
321, 594796, 598034, 591156, 799962, 771198, 671029
322, 889602, 870333, 1029472, 617562, 626823, 806758
323, 663632, 625353, 583442, 602357, 614081, 617773
324, 616247, 642089, 660450, 709059, 623575, 650284
325, 593315, 618766, 597160, 616477, 628613, 610866
326, 616820, 600507, 648352, 633844, 632590, 626422
327, 617289, 620614, 615497, 614314, 616683, 616879
328, 635513, 623524, 622490, 599375, 782008, 652582
329, 1903947, 673808, 658324, 800786, 656706, 938714
330, 1030122, 2590638, 352385, 526069, 333134, 966469
331, 429483, 317019, 311335, 310311, 308498, 335329
332, 313918, 309250, 308415, 308632, 313795, 310802
333, 310445, 310724, 310397, 310570, 443858, 337198
334, 448198, 487872, 318288, 329162, 314263, 379556
335, 315528, 414915, 339991, 380863, 354672, 361193
336, 319672, 342800, 378092, 336725, 364653, 348388
337, 367627, 400931, 558474, 430679, 397978, 431137
338, 445947, 363291, 370619, 346302, 378942, 381020
339, 335776, 343242, 333457, 327919, 324297, 332938
340, 479032, 344446, 361871, 357810, 332129, 375057
341, 326752, 413465, 391118, 335765, 343821, 362184
342, 333680, 333273, 324794, 333160, 324177, 329816
343, 326015, 325290, 328184, 325336, 324803, 325925
344, 327134, 326357, 331823, 328499, 328535, 328469
345, 329532, 336470, 366759, 355559, 535575, 384779
346, 393977, 340490, 340638, 333127, 405623, 362771
347, 345123, 375679, 366130, 377757, 352198, 363377
348, 376391, 354034, 353442, 361011, 352666, 359508
349, 352895, 353237, 380604, 392665, 347195, 365319
350, 370408, 353055, 340105, 352265, 354547, 354076
351, 352672, 354703, 388970, 395985, 392578, 376981
352, 374620, 390767, 409894, 398453, 412533, 397253
