<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
245, 71012, 77092, 80126, 103092, 98039, 85872
246, 94632, 105297, 110654, 78368, 73212, 92432
247, 72793, 73223, 70257, 75723, 74235, 73246
248, 72197, 69774, 71315, 70027, 135895, 83841
249, 122941, 72849, 69821, 69614, 152399, 97524
250, 129184, 126174, 131544, 127388, 126993, 128256
251, 122255, 118783, 123106, 114100, 111681, 117985
252, 111950, 1491879, 134325, 123097, 211124, 414475
253, 131571, 136076, 129328, 127917, 126427, 130263
254, 127577, 142037, 134888, 138553, 136366, 135884
255, 135658, 129359, 131380, 174244, 80370, 130202
256, 76600, 74073, 74957, 73898, 71625, 74230
257, 78950, 74412, 73502, 71818, 154197, 90575
258, 118875, 125918, 124377, 116643, 131030, 123368
259, 132722, 134385, 130777, 133082, 127497, 131692
260, 130837, 125426, 131153, 129327, 82018, 119752
261, 77991, 78222, 75339, 80865, 74243, 77332
262, 76600, 74123, 75642, 73330, 75006, 74940
263, 74374, 75916, 73913, 74918, 73382, 74500
264, 76703, 98500, 80238, 74272, 74116, 80765
265, 76540, 75361, 127605, 80266, 82291, 88412
266, 77921, 82122, 75841, 84603, 121890, 88475
267, 79890, 74955, 77315, 74176, 74200, 76107
268, 75883, 77289, 79424, 75479, 75386, 76692
269, 78584, 75845, 75336, 75355, 77270, 76478
270, 105709, 80876, 72162, 71301, 67993, 79608
271, 67705, 68969, 67418, 66345, 66600, 67407
272, 69017, 66515, 66305, 152125, 97034, 90199
273, 72291, 66365, 67852, 66412, 65891, 67762
274, 66903, 68336, 65990, 66140, 66213, 66716
275, 70592, 67025, 66940, 66593, 68348, 67899
276, 67490, 67337, 68903, 67506, 67083, 67663
277, 67836, 243786, 124098, 129211, 128128, 138611
278, 128696, 71587, 69947, 77852, 76928, 85002
279, 70114, 75241, 70960, 68768, 68461, 70708
280, 69615, 70443, 68633, 69360, 70165, 69643
281, 69199, 71373, 68325, 70180, 68774, 69570
282, 70041, 69501, 272771, 77846, 75046, 113041
283, 78396, 73374, 76495, 71549, 72483, 74459
284, 71479, 70570, 70411, 72052, 74009, 71704
285, 70810, 90639, 131808, 70951, 70032, 86848
286, 74299, 71197, 70236, 71850, 70285, 71573
287, 71786, 75057, 79844, 78765, 70646, 75219
288, 71331, 73165, 71266, 70923, 72767, 71890
289, 71382, 71041, 73835, 73004, 70811, 72014
290, 72137, 73197, 76358, 71379, 71083, 72830
291, 73970, 72255, 74936, 73803, 71910, 73374
292, 72537, 72284, 74384, 72253, 71699, 72631
293, 74984, 72930, 74945, 72781, 74614, 74050
294, 73222, 72830, 74553, 72931, 72940, 73295
295, 73911, 77571, 73419, 73128, 75464, 74698
296, 150399, 74627, 74087, 75544, 73475, 89626
297, 74894, 171432, 140183, 139928, 141098, 133507
298, 146347, 142871, 138179, 141112, 139151, 141532
299, 144579, 142719, 142038, 142729, 141126, 142638
300, 139315, 141077, 138889, 137275, 142005, 139712
301, 149104, 136372, 144117, 237866, 143119, 162115
302, 148937, 128637, 130316, 145300, 142170, 139072
303, 144393, 134521, 87315, 78291, 77010, 104306
304, 81301, 77634, 76963, 77393, 78289, 78316
305, 181643, 441240, 461250, 374901, 203173, 332441
306, 155930, 108699, 99161, 101263, 96747, 112360
307, 103829, 99847, 99121, 102992, 98129, 100783
308, 103229, 102341, 106386, 101553, 170856, 116873
309, 216191, 183642, 172663, 154738, 177435, 180933
310, 171780, 181688, 194324, 181129, 182521, 182288
311, 186786, 192422, 185085, 307708, 218166, 218033
312, 185357, 195916, 183450, 190590, 182350, 187532
313, 184299, 182856, 183964, 179342, 185157, 183123
314, 186720, 192833, 224690, 199146, 200635, 200804
315, 224965, 205874, 215051, 209621, 217162, 214534
316, 215643, 205635, 111427, 120425, 110350, 152696
317, 112121, 111990, 112487, 110666, 110027, 111458
318, 115313, 117558, 111641, 149477, 113500, 121497
319, 115166, 114203, 116437, 113776, 117066, 115329
320, 117881, 117452, 115344, 117666, 116716, 117011
321, 166631, 127099, 132290, 126967, 159336, 142464
322, 241838, 231004, 220562, 215434, 222471, 226261
323, 253776, 221871, 226368, 223935, 220287, 229247
324, 227500, 234048, 224767, 279861, 240707, 241376
325, 235240, 238776, 212687, 228335, 244328, 231873
326, 241312, 234289, 229813, 231352, 234800, 234313
327, 242290, 239163, 213783, 152444, 152099, 199955
328, 152694, 151834, 151454, 166561, 151769, 154862
329, 157305, 155884, 152881, 279411, 255222, 200140
330, 235089, 138696, 136763, 139465, 134703, 156943
331, 135498, 137559, 137173, 170487, 142118, 144567
332, 143023, 135834, 137382, 135131, 153155, 140905
333, 142963, 138913, 137307, 136979, 138550, 138942
334, 139381, 141841, 141012, 142264, 138660, 140631
335, 143563, 141595, 141254, 146197, 140967, 142715
336, 143359, 143279, 144562, 142388, 145140, 143745
337, 149834, 144847, 144313, 146187, 145095, 146055
338, 146221, 150150, 146971, 145803, 147882, 147405
339, 342886, 213352, 189031, 156016, 175690, 215395
340, 254187, 161921, 202858, 153577, 159690, 186446
341, 164743, 160394, 155180, 153201, 242698, 175243
342, 170924, 1103099, 163297, 183788, 155311, 355283
343, 157651, 157767, 159441, 154277, 155536, 156934
344, 156385, 156261, 157651, 161918, 159409, 158324
345, 159543, 157558, 157471, 160271, 158847, 158738
