<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
423, 210531, 54590, 55166, 77304, 72890, 94096
424, 231109, 62615, 62251, 61353, 57597, 94985
425, 210901, 55509, 77440, 42415, 41656, 85584
426, 217284, 66663, 41351, 40977, 39649, 81184
427, 195544, 41692, 40362, 39813, 40697, 71621
428, 191828, 40814, 54568, 66763, 64755, 83745
429, 240232, 66752, 61627, 64287, 65656, 99710
430, 235580, 64064, 66643, 61850, 68278, 99283
431, 240548, 64423, 66659, 67413, 67065, 101221
432, 240234, 66375, 62190, 57982, 57820, 96920
433, 240068, 68560, 65516, 69643, 73787, 103514
434, 249041, 71381, 71824, 71078, 71802, 107025
435, 246889, 43403, 41590, 71442, 72525, 95169
436, 215851, 74323, 73289, 73652, 73244, 102071
437, 213847, 74487, 74075, 73382, 73449, 101848
438, 218835, 75055, 74088, 74015, 73920, 103182
439, 209927, 75180, 74546, 73977, 74502, 101626
440, 217046, 75563, 74812, 74308, 74244, 103194
441, 259314, 71769, 76140, 74822, 86569, 113722
442, 231871, 43298, 57827, 74531, 75295, 96564
443, 215499, 67154, 75892, 75401, 75219, 101833
444, 226513, 76987, 76084, 76095, 75935, 106322
445, 223039, 77141, 76295, 75990, 76057, 105704
446, 224141, 77351, 76733, 76455, 76134, 106162
447, 225873, 77292, 77046, 76744, 76173, 106625
448, 226050, 77537, 76894, 76766, 76850, 106819
449, 227013, 78175, 77843, 77206, 77172, 107481
450, 224566, 78413, 78201, 77739, 77127, 107209
451, 229773, 61207, 44339, 44278, 45392, 84997
452, 214066, 78279, 79181, 79332, 78087, 105789
453, 233868, 79545, 78778, 78394, 78548, 109826
454, 229849, 79534, 79093, 93933, 62974, 109076
455, 243188, 77897, 79519, 78941, 78637, 111636
456, 230492, 80705, 79934, 79424, 79419, 109994
457, 236941, 81144, 79500, 79510, 79785, 111376
458, 288733, 47580, 45860, 45895, 45547, 94723
459, 215620, 47291, 46029, 45889, 46866, 80339
460, 216342, 46942, 47519, 47210, 46195, 80841
461, 211310, 46947, 46508, 46299, 47313, 79675
462, 235238, 48603, 47847, 77751, 47580, 91403
463, 219740, 47338, 48164, 46547, 70049, 86367
464, 228726, 47666, 48145, 47141, 46618, 83659
465, 218903, 47630, 47631, 47995, 47545, 81940
466, 240804, 47946, 48729, 47074, 48241, 86558
467, 227167, 49377, 75608, 69978, 47313, 93888
468, 258376, 70899, 84029, 83229, 86084, 116523
469, 238686, 84815, 83958, 76503, 83458, 113484
470, 246107, 85193, 84720, 84208, 83472, 116740
471, 248099, 86024, 84863, 84802, 84711, 117699
472, 248213, 85676, 85215, 84446, 84437, 117597
473, 249239, 85959, 72050, 76457, 66023, 109945
474, 281947, 77753, 82496, 71536, 69572, 116660
475, 280142, 83579, 82042, 81422, 81792, 121795
476, 293861, 83916, 77338, 85243, 67505, 121572
477, 277683, 92068, 79329, 78137, 77254, 120894
478, 269159, 69756, 70914, 78157, 77876, 113172
479, 282712, 79319, 78556, 68770, 67580, 115387
480, 290591, 79340, 78343, 77775, 77747, 120759
481, 282840, 70208, 68492, 68590, 72440, 112514
482, 286250, 96613, 76416, 90940, 74561, 124956
483, 280553, 72729, 79007, 65473, 86590, 116870
484, 263304, 89498, 88892, 88798, 88278, 123754
485, 257280, 89612, 88851, 88799, 88244, 122557
486, 256905, 90252, 89363, 89154, 88699, 122874
487, 259092, 90148, 89698, 89253, 89018, 123441
488, 257345, 90994, 90096, 89688, 89307, 123486
489, 258676, 91098, 89927, 90129, 89298, 123825
490, 265458, 91597, 90632, 90358, 90178, 125644
491, 261262, 91797, 90823, 90370, 83755, 123601
492, 273878, 91366, 90901, 90598, 90210, 127390
493, 267795, 92094, 91527, 91276, 90968, 126732
494, 266653, 92164, 97865, 91291, 91050, 127804
495, 269806, 92806, 91896, 91902, 91376, 127557
496, 326056, 95407, 90883, 77561, 88086, 135598
