<SIZE>, <EXECUTION_TIME_1>, <EXECUTION_TIME_2>, <EXECUTION_TIME_3>, <EXECUTION_TIME_4>, <EXECUTION_TIME_5>, <AVG>
1834, 49709, 49150, 49385, 57504, 49525, 51054
1835, 49916, 49350, 49484, 49598, 49439, 49557
1836, 54005, 49444, 49264, 49971, 49339, 50404
1837, 49389, 49668, 49424, 49413, 49332, 49445
1838, 49342, 49344, 49996, 49557, 49637, 49575
1839, 49945, 49537, 49421, 49717, 49878, 49699
1840, 49676, 49924, 49361, 49561, 55722, 50848
1841, 50024, 50142, 50168, 49945, 49995, 50054
1842, 50028, 49728, 49847, 49731, 50298, 49926
1843, 49957, 49911, 50158, 49826, 49900, 49950
1844, 49840, 49894, 49603, 50319, 49905, 49912
1845, 50134, 50124, 49936, 49535, 49616, 49869
1846, 66659, 50239, 64187, 66312, 63858, 62251
1847, 50489, 55956, 49878, 49509, 49806, 51127
1848, 51043, 54755, 50196, 63386, 54928, 54861
1849, 50586, 50194, 49955, 50032, 50947, 50342
1850, 55048, 49689, 50331, 49476, 50372, 50983
1851, 50082, 49770, 50255, 50306, 49796, 50041
1852, 50073, 50018, 50596, 49662, 50041, 50078
1853, 62127, 50258, 50248, 50834, 51070, 52907
1854, 50662, 50489, 50341, 50468, 50304, 50452
1855, 50037, 50301, 54380, 50472, 50638, 51165
1856, 50056, 49979, 49976, 50279, 50233, 50104
1857, 50631, 51622, 50349, 50785, 50758, 50829
1858, 51583, 50338, 50230, 50857, 50481, 50697
1859, 50396, 50522, 51033, 50277, 50001, 50445
1860, 51151, 50776, 50694, 50579, 50731, 50786
1861, 50639, 50913, 52946, 50530, 50461, 51097
1862, 62862, 49989, 63731, 105927, 94957, 75493
1863, 94234, 76483, 52170, 51901, 52046, 65366
1864, 50344, 50430, 50161, 50471, 52186, 50718
1865, 58112, 50677, 52512, 50258, 50327, 52377
1866, 50873, 50513, 50633, 50476, 50425, 50584
1867, 51431, 51047, 54733, 50531, 50496, 51647
1868, 50989, 51002, 51355, 75462, 50756, 55912
1869, 50692, 50459, 50714, 50813, 50685, 50672
1870, 56547, 50813, 50759, 68011, 63091, 57844
1871, 69712, 77842, 62164, 67558, 64369, 68329
1872, 59951, 63904, 63718, 63900, 72721, 64838
1873, 57409, 62091, 66624, 83841, 50341, 64061
1874, 50915, 50454, 50643, 50959, 51032, 50800
1875, 50949, 51056, 51066, 50406, 50838, 50863
1876, 50762, 52528, 51807, 51353, 51483, 51586
1877, 50855, 56351, 50492, 62204, 50730, 54126
1878, 50779, 50561, 50848, 51123, 51030, 50868
1879, 50690, 50833, 89163, 51786, 54011, 59296
1880, 50746, 50954, 50861, 50267, 50672, 50700
1881, 51013, 57609, 51537, 51330, 51682, 52634
1882, 53186, 51811, 51399, 51145, 61011, 53710
1883, 51233, 50697, 61643, 50566, 50976, 53023
1884, 50923, 50828, 56744, 50836, 50418, 51949
1885, 51050, 51121, 51067, 51473, 51440, 51230
1886, 51288, 51060, 51093, 50666, 50831, 50987
1887, 51488, 51539, 51109, 51235, 51632, 51400
1888, 51480, 71551, 68118, 56037, 51309, 59699
1889, 51996, 51251, 51562, 51437, 51634, 51576
1890, 50644, 51325, 51405, 51577, 51073, 51204
1891, 50915, 51298, 51475, 56369, 50930, 52197
1892, 51455, 51332, 51590, 51313, 51010, 51340
